attribution,basis,instrument_class,auscope_sites,funding_names_auscope,manufacturer,model,serial,serial_reconstructed,serial_merged,serial_variant_conflict,integrated_node,roles,n_networks,networks,networks_auscope,networks_other,n_networks_other,n_deployments,coverage_start,coverage_end,coverage_pidinst,still_deployed,countries,network_dois,raw_model_variants
confirmed-ANU-built,ANU is the manufacturer,datalogger,,True,Australian National University,ANU LPR-200,008,False,,False,False,datalogger,3,1Q; 3G; 8J,3G,1Q; 8J,2,3,2012-11-24,2019-01-28,2012-11-24/2019-01-28,False,Australia,10.7914/SN/1Q_2016; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,True,Australian National University,ANU LPR-200,009,False,,False,False,datalogger,5,1Q; 4J; 5G; 5J; 8J,5G; 5J,1Q; 4J; 8J,3,5,2012-11-22,2022-06-03,2012-11-22/2022-06-03,False,Australia,10.7914/SN/1Q_2016; 10.7914/SN/4J_2014; 10.7914/SN/5G_2018; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,010,False,,False,False,datalogger,3,3G; 6C; 8J,3G,6C; 8J,2,3,2012-11-20,2019-04-04,2012-11-20/2019-04-04,False,Australia,10.7914/SN/6C_2015; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,011,False,,False,False,datalogger,3,1E; 5G; 8J,5G,1E; 8J,2,4,2012-11-23,2022-06-12,2012-11-23/2022-06-12,False,Australia,10.7914/SN/1E_2013; 10.7914/SN/5G_2018; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,True,Australian National University,ANU LPR-200,012,False,,False,False,datalogger,6,1E; 1Q; 4J; 5J; 6T; 8J,5J,1E; 1Q; 4J; 6T; 8J,5,6,2012-11-25,,2012-11-25/,True,AUS; Australia,10.7914/4e87-j738; 10.7914/SN/1E_2013; 10.7914/SN/1Q_2016; 10.7914/SN/4J_2014; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,013,False,,False,False,datalogger,1,8J,,8J,1,1,2012-11-25,2013-07-04,2012-11-25/2013-07-04,False,Australia,10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,014,False,,False,False,datalogger,3,4J; 6K; 8J,6K,4J; 8J,2,3,2012-11-25,2021-12-31,2012-11-25/2021-12-31,False,Australia,10.7914/SN/4J_2014; 10.7914/SN/6K_2020; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,015,False,,False,False,datalogger,3,3G; 6K; 8J,3G; 6K,8J,1,4,2012-11-26,2021-05-21,2012-11-26/2021-05-21,False,Australia,10.7914/SN/6K_2020; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,016,False,,False,False,datalogger,6,1E; 3G; 4J; 5G; 8J; 8M,3G; 5G,1E; 4J; 8J; 8M,4,7,2012-11-21,2022-06-13,2012-11-21/2022-06-13,False,Australia,10.7914/SN/1E_2013; 10.7914/SN/4J_2014; 10.7914/SN/5G_2018; 10.7914/SN/8J_2012; 10.7914/SN/8M_2016,ANU LPR-200 (Beige Box)
confirmed-ANU-built,ANU is the manufacturer,datalogger,,False,Australian National University,ANU LPR-200,017,False,,False,False,datalogger,4,3G; 4B; 5G; 8J,3G; 4B; 5G,8J,1,4,2012-11-21,2025-05-16,2012-11-21/2025-05-16,False,AU; Australia,10.7914/9j20-yq91; 10.7914/SN/5G_2018; 10.7914/SN/8J_2012,ANU LPR-200 (Beige Box)
